#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2018 01 22 20 00 220  6.0  8.0   4.1    10    MM  MM 1022.4   8.7   9.5    MM   MM +2.3    MM
2018 01 22 19 00 220  6.0  8.0   4.0    11    MM  MM 1021.8   8.4   9.4    MM   MM +2.7    MM
2018 01 22 18 00 230  5.0  7.0   4.2    12    MM  MM 1021.2   8.5   9.3    MM   MM +3.1    MM
2018 01 22 17 00 250  7.0 10.0   4.0    10    MM  MM 1020.1   8.2   9.3    MM   MM +2.9    MM
2018 01 22 16 00 260  7.0  9.0   4.4    11    MM  MM 1019.1   8.3   9.3    MM   MM +2.6    MM
2018 01 22 15 00 270  7.0  9.0   3.9    12    MM  MM 1018.1   8.1   9.3    MM   MM +2.7    MM
2018 01 22 14 00 270  8.0 10.0   4.5    11    MM  MM 1017.2   8.3   9.3    MM   MM +2.7    MM
2018 01 22 13 00 260 11.0 17.0   4.4    11    MM  MM 1016.5   6.7   9.4    MM   MM +2.5    MM
2018 01 22 12 00 260  8.0 11.0   4.5    10    MM  MM 1015.4   8.3   9.4    MM   MM +2.3    MM
2018 01 22 11 00 250 10.0 13.0   4.2    11    MM  MM 1014.5   8.6   9.4    MM   MM +1.6    MM
2018 01 22 10 00 220  7.0 10.0   4.6    12    MM  MM 1014.0   8.3   9.4    MM   MM +1.6    MM
2018 01 22 09 00 240  8.0 11.0   4.6    11    MM  MM 1013.1   8.9   9.4    MM   MM +1.3    MM
2018 01 22 08 00 230  6.0  8.0   5.0    13    MM  MM 1012.9   8.4   9.4    MM   MM +2.2    MM
2018 01 22 07 00 210  6.0 10.0   5.1    11    MM  MM 1012.4   8.2   9.4    MM   MM +2.6    MM
2018 01 22 06 00 230  6.0  9.0   5.3    11    MM  MM 1011.8   7.9   9.5    MM   MM +3.0    MM
2018 01 22 05 00 240  8.0 10.0   5.6    11    MM  MM 1010.7   8.5   9.5    MM   MM +2.9    MM
